,Responsable,,Aprobador,,Soporte 1,,Soporte 2,,Soporte 3,,Soporte 4,,Soporte 5,,Soporte 6,,Consultado 1,,Consultado 2,,Consultado 3,,Consultado 4,,Consultado 5,,Consultado 6,,Consultado 7,,Consultado 8,,Informado 1,,Informado 2,,Informado 3,,Informado 4,,Informado 5,,Informado 6,,,,
DPAC-23,DPAC,TGI,DPAC,TGI,,,,,,,,,,,,,DPAC,AI,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DPAC-24,DPAC,TGI,DPAC,TGI,DVCM,COM,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DPAC-25,DPAC,TGI,DPAC,DPAC,DPAC,TGI,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DPAC-26,DPAC,TGI,DPAC,TGI,DVCM,COM,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DPAC-27,DPAC,TGI,DPAC,TGI,,,,,,,,,,,,,DAC,BRA,DAC,TICE,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DPAC-28,DPAC,TGI,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DPAC-29,DPAC,DPAC,REC,,DPAC,PCI,DPAC,AC,,,,,,,,,Todos estratégicos,,Todos tácticos,,Todos gestión académica,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DPAC-30,DPAC,DPAC,REC,,DPAC,PCI,DPAC,AC,DVCM,COM,,,,,,,Todos estratégicos,,Todos tácticos,,Todos gestión académica,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DI-5,DI,ITT,DI,ITT,DAF,ADQ,DPAC,,,,,,,,,,DPAC,AI,DCSH,TS,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DI-6,DI,ITT,DI,ITT,DI,DINV,DI,DDC,DVCM,COM,DAF,INSG,,,,,DAF,INSG,DCNT,AGRO,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,DI,DI ,,,,,,,,,,,,,
DI-7,DI,ITT,DI,ITT,DI,DINV,DAF,ADQ,SG,JUR,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DI-8,DI,DINV,SG,JUR,DI,DINV,DI,ITT,DAF,ADQ,SG,SG,,,,,REC,REC,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,DCS,DCS,DCNT,DCNT,DCSH,DCSH,,,,,,,,,
DI-9,DI,DDC,DI,DDC,DPAC,TGI,DAC,BRA,DPAC,AC,,,,,,,DI,DI ,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,DI,DI ,DAC,DAC,DVCM,DVCM,DPAC,,,,,,,,
DI-10,DI,DDC,DI,DDC,DVCM,COM,DVCM,EXT,REC,REC,,,,,,,DI,DI ,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,DI,DI ,DAC,DAC,DVCM,DVCM,DPAC,,,,,,,,
DI-11,DI,DINV,DI,DINV,DAF,DAF,DAF,DAF,DAF,INSG,DI,DDC,,,,,DI,DINV,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,REC,GAB,DCSH,DCSH,DCNT,DCNT,DCS,DCS,,,,,,,
DI-12,DI,DINV,DI,DINV,DI,DINV,DPAC,PCI,DAF,DAF,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,REC,REC,DCSH,DCSH,DCNT,DCNT,DCS,DCS,,,,,,,
DVCM-6,DVCM,DVCM,DVCM,DVCM,DVCM,TE,DVCM,COM,DVCM,EXT,,,,,,,REC,GAB,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,REC,GAB,,,,,,,,,,,,,
DVCM-7,DVCM,COM,REC,REC,DVCM,COM,DAC,EPRE,,,,,,,,,DCNT,DCNT,DCSH,DCSH,DCS,DCS,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DVCM-8,DVCM,COM,DAC,DAC,DVCM,COM,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,DCNT,DCNT,DCSH,DCSH,DCS,DCS,,,,,,,,,
DVCM-9,DVCM,COM,,,,,,,,,,,,,,,REC,REC,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DVCM-10,DVCM,COM,DVCM,DVCM,DAF,ADQ,DAF,FIN,SG,JUR,,,,,,,REC,REC,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,DCNT,DCNT,DCSH,DCSH,DCS,DCS,,,,,,,,,
DVCM-11,DVCM,DVCM,REC,REC,DVCM,DVCM,DI,DI ,DAC,DAC,,,,,,,DCNT,DCNT,DCSH,DCSH,DCS,DCS,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,DPAC,PCI,REC,RI,,,,,,,,,,,
DVCM-12,DVCM,DVCM,REC,REC,DVCM,DVCM,DAC,EPRE,DPAC,AC,,,,,,,DCNT,DCNT,DCSH,DCSH,DCS,DCS,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DVCM-13,DVCM,COM,DVCM,COM,DAF,ADQ,SG,JUR,CU,DINV,,,,,,,DVCM,DVCM,REC,REC,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DVCM-14,DVCM,EXT,DVCM,EXT,DVCM,EXT,DAF,ADQ,DAF,INSG,,,,,,,DVCM,DVCM,DAF,DAF,DAC,DAC,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,DVCM,DVCM,DPAC,DPAC,DAF,DAF,,,,,,,,,
DVCM-15,DVCM,EXT,DVCM,EXT,DVCM,COM,DAC,EPYEC,DAF,DAF,,,,,,,DAC,EPYEC,DVCM,DVCM,DAC,DAC,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,DPAC,DPAC,DAC,EPYEC,DVCM,DVCM,,,,,,,,,
DVCM-16,DVCM,EXT,DVCM,EXT,DVCM,EXT,DVCM,COM,DAF,ADQ,,,,,,,DVCM,DVCM,DAF,DAF,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,DPAC,DPAC,DVCM,DVCM,,,,,,,,,,,
DVCM-17,DVCM,EXT,DVCM,EXT,DVCM,EXT,DAF,ADQ,SG,JUR,,,,,,,DVCM,DVCM,REC,RI,SG,JUR,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,DVCM,DVCM,DPAC,DPAC,,,,,,,,,,,
DVCM-18,DVCM,EXT,DVCM,EXT,DVCM,EXT,SG,JUR,DAF,ADQ,,,,,,,DVCM,DVCM,DAC,DAC,DAF,ADQ,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,DVCM,COM,DAC,DAC,DAF,ADQ,,,,,,,,,
DVCM-19,DVCM,EXT,DVCM,EXT,DVCM,EXT,DVCM,COM,DAF,ADQ,,,,,,,DVCM,DVCM,DAC,DAC,DAF,ADQ,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,DVCM,DVCM,DAC,DAC,DAF,ADQ,,,,,,,,,
DVCM-20,DVCM,COM,DVCM,COM,DCNT,DCNT,DCSH,DCSH,DCS,DCS,,,,,,,DI,DI ,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,DVCM,DVCM,DI,DI ,REC,REC,,,,,,,,,
DVCM-21,DVCM,TE,DVCM,TE,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,DVCM,DVCM,,,,,,,,,,,,,
DVCM-22,DVCM,COM,DVCM,COM,DPAC,AC,,,,,,,,,,,DPAC,AC,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DVCM-23,DVCM,DVCM,DVCM,DVCM,DVCM,TE,DVCM,COM,DVCM,EXT,,,,,,,DCS,DCS,DCSH,DCSH,DCNT,DCNT,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,REC,REC,REC,GAB,,,,,,,,,,,
DVCM-24,DVCM,TE,DVCM,TE,DAF,ADQ,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,DCNT,DCNT,DCS,DCS,DCSH,DCSH,,,,,,,,,
DVCM-25,DVCM,TE,DVCM,,DCS,DCS,DCSH,DCSH,DCNT,DCNT,,,,,,,DAC,DAC,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,DAC,,,,,,,,,,,,,,
CU-1,CU,LCJ,CU,CU,SG,JUR,DVCM,COM,,,,,,,,,CU,LCJ,DAF,DP,TODOS,ESTR,,,,,,,,,,,CU,CU,DPAC,AI,TODOS,ESTR,TODOS,TAC,TODOS,GA,TODOS,OP,,,
CU-2,CU,LCJ,CU,CU,SG,JUR,DAF,ADQ,DAF,FIN,,,,,,,DPAC,TGI,,,,,,,,,,,,,,,TODOS,ESTR,TODOS,COL,DPAC,AI,,,,,,,,,
CU-3,CU,AUD,REC,REC,CU,AUD,CU,CU,REC,GAB,SG,JUR,,,,,,,,,,,,,,,,,,,,,CU,CU,TODOS,ESTR,TODOS,COL,DPAC,AC,DPAC,PCI,,,,,
CU-4,CU,CU,REC,REC,CU,CU,SG,JUR,TODOS,ESTR,,,,,,,TODOS,ESTR,TODOS,COL,TODOS,TAC,,,,,,,DPAC,AC,,,TODOS,ESTR,TODOS,COL,TODOS,OP,TODOS,TAC,,,,,,,
DAC-6,DAC,EPRE,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-7,DAC,SA,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-8,DAC,SA,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-9,DAC,BRA,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-10,DAC,BRA,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-11,DAC,EPRE,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-12,DAC,EPRE,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-13,DAC,EPRE,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-14,DAC,EPRE,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-15,DAC,EPRE,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-16,DAC,EPRE,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-17,DAC,EPRE,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-18,DAC,DE,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-19,DAC,DE,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-20,DAC,DE,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-21,DAC,EPYEC,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-22,DAC,EPYEC,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-23,DAC,DAC,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-24,DAC,EPRE,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-25,DAC,DA,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-26,DAC,DA,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-27,DAC,DA,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-28,DAC,DA,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-29,DAC,DAC,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-30,DAC,DAC,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAC-31,DAC,EPYEC,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DCS-2,DCS,ENF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS-3,DCS,ENF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS-4,DCS,ENF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
